     "AGE;AGE;;;Flugplatz;Flugplatz;Вангерооге;Вангерооге;Wangerooge;Wangerooge;Германия;Германия;Germany;Germany;53.788333;53.788333;7.920556;7.920556";;;;
     "AGF;AGF;;;La Garenne;La Garenne;Аген;Аген;Agen;Agen;Франция;Франция;France;France;44.174714;44.174714;0.590619;0.590619";;;;
     "AGG;AGG;Ангорам;Ангорам;Angoram;Angoram;Ангорам;Ангорам;Angoram;Angoram;Папуа - Новая Гвинея;Папуа - Новая Гвинея;Papua New Guinea;Papua New Guinea;-4.050;-4.050;144.067;144.067";;;;
     "AGH;AGH;;;Angelholm;Angelholm;;;Angelholm/Helsingborg;Angelholm/Helsingborg;Швеция;Швеция;Sweden;Sweden;56.296072;56.296072;12.847139;12.847139";;;;
     "AGI;AGI;Вагенинген;Вагенинген;Wageningen;Wageningen;Вагенинген;Вагенинген;Wageningen;Wageningen;Суринам;Суринам;Suriname;Suriname;5.833;5.833;-56.650;-56.650";;;;
     "AGJ;AGJ;Агуни;Агуни;Aguni;Aguni;Агуни;Агуни;Aguni;Aguni;Япония;Япония;Japan;Japan;26.592499;26.592499;127.240833;127.240833";;;;
     "AGK;AGK;Кагуа;Кагуа;Kagua;Kagua;Кагуа;Кагуа;Kagua;Kagua;Папуа - Новая Гвинея;Папуа - Новая Гвинея;Papua New Guinea;Papua New Guinea;-6.383;-6.383;143.850;143.850";;;;
     "AGL;AGL;Ванигела;Ванигела;Wanigela;Wanigela;Ванигела;Ванигела;Wanigela;Wanigela;Папуа - Новая Гвинея;Папуа - Новая Гвинея;Papua New Guinea;Papua New Guinea;-9.333;-9.333;149.150;149.150";;;;
     "AGM;AGM;;;Tasiilaq;Tasiilaq;;;Tasiilaq;Tasiilaq;Гренландия;Гренландия;Greenland;Greenland;65.612222;65.612222;-37.618333;-37.618333";;;;
     "AGN;AGN;Ангун;Ангун;Angoon;Angoon;;;Angoon;Angoon;США;США;United States;United States;57.503555;57.503555;-134.585094;-134.585094";;;;
     "AGO;AGO;;;Municipal;Municipal;;;Magnolia;Magnolia;США;США;United States;United States;33.227468;33.227468;-93.216992;-93.216992";;;;
     "AGP;AGP;;;Pablo Ruiz Picasso;Pablo Ruiz Picasso;Малага;Малага;Malaga;Malaga;Испания;Испания;Spain;Spain;36.674900;36.674900;-4.499106;-4.499106";;;;
     "AGQ;AGQ;Агринио;Агринио;Agrinion;Agrinion;Агринио;Агринио;Agrinion;Agrinion;Греция;Греция;Greece;Greece;38.602022;38.602022;21.351208;21.351208";;;;
     "AGR;AGR;;;Kheria;Kheria;Агра;Агра;Agra;Agra;Индия;Индия;India;India;27.155831;27.155831;77.960892;77.960892";;;;
